Step,Temp,c_myFlux[1]
1445,339.25135,99.157445
1450,342.54902,61.291247
1455,343.45473,7.9434442
1460,342.6098,-71.446957
1465,340.57452,-181.11627
1470,339.94731,-253.14033
1475,340.40188,-212.31103
1480,338.0053,-115.51002
1485,333.07509,-69.280744
1490,329.8451,-104.37865
1495,330.02837,-113.10933
1500,329.22507,28.874891
1505,324.7778,238.51178
1510,324.39722,338.08591
1515,327.69536,258.33947
1520,329.84753,108.39846
1525,331.11481,12.97097
1530,329.19019,-29.508813
1535,325.93402,-21.32981
1540,321.72325,11.521438
1545,316.94709,-12.366187
1550,316.05268,-101.13119
1555,314.08358,-192.38109
1560,311.37801,-217.2398
1565,315.87741,-118.77269
1570,322.17166,49.874789
1575,321.8914,153.31448
1580,319.9459,158.55154
1585,323.90489,141.59372
1590,331.33213,111.35133
1595,333.18199,33.655626
1600,333.64281,-36.251579
1605,336.71787,-47.853583
1610,332.97003,-12.820465
1615,326.19454,30.466305
1620,327.3677,31.679611
1625,334.22786,-81.392521
1630,334.58219,-223.18561
1635,328.56197,-195.35977
1640,328.77208,-60.168663
1645,336.84177,-45.457509
1650,340.27742,-165.82353
1655,335.10934,-219.7548
1660,333.07112,-147.06
1665,337.4848,-74.026639
1670,334.65397,-57.605871
1675,325.7939,-43.20605
1680,324.04318,-35.086957
1685,324.90563,-96.684657
1690,322.46319,-229.7518
1695,318.96376,-294.18542
1700,318.23457,-183.5013
1705,320.80422,-34.860405
1710,321.70245,-84.62693
1715,320.58408,-281.50468
1720,322.33951,-364.42218
1725,322.12126,-267.29729
1730,314.0877,-144.63461
1735,305.92662,-99.989502
1740,305.8386,-116.56175
1745,308.74559,-131.10705
1750,308.27571,-87.362567
1755,309.0559,-3.5059388
1760,314.98806,35.23088
1765,318.20414,16.299229
1770,312.97022,-11.657573
1775,307.76431,-18.112982
1780,312.95199,-2.9327318
1785,323.94655,-13.047932
1790,323.89386,-80.730338
1795,316.74872,-126.45679
1800,320.23691,-63.631187
1805,327.01804,47.125102
1810,324.16223,36.894769
